# alarm-clearing pulse 2026-09-07: one cycle of the 100% level to re-fail every service, then off; clears the 4,404 alarms orphaned by the 15:33Z restart
time services pending active done_s core% minion% db% heap_gib oldgc_min snmp_mbit core_load events_1m dcfailed_1m dcsucceeded_1m alarms alarms_open_major
16:07:26 11004 7483 250 18.6 27.7 17.0 12.4 4.3 0.0 11.3 4.5 0 0 0 4404 4404
# PULSE ON drop rules now: 2 2026-09-07T16:07:28Z 
16:08:25 11004 6071 250 26.0 16.3 5.5 5.3 4.6 0.0 1.8 4.0 1350 1350 0 5149 5149
16:09:26 11004 5310 250 31.1 21.9 7.4 4.3 6.3 0.0 1.8 2.0 1920 1920 0 6237 6237
16:10:25 11004 1393 250 69.8 27.9 10.8 11.8 5.4 0.0 1.8 1.8 4081 4081 0 8496 8496
16:11:26 11004 0 59 37.1 11.5 4.1 5.4 4.4 0.0 1.8 1.0 2425 2425 0 10208 10208
16:12:25 11004 0 87 18.4 10.6 2.8 4.1 4.2 0.0 1.8 0.6 1105 1105 0 10975 10975
# PULSE OFF drop rules now: 1 2026-09-07T16:13:14Z 
16:13:25 11004 0 180 24.0 5.8 6.0 0.8 4.1 0.0 4.2 0.3 269 40 229 11000 10771
16:14:26 11004 678 250 34.3 74.5 30.6 34.3 4.9 0.0 19.8 19.8 2249 0 2147 11000 8624
16:15:25 11004 2161 250 49.3 86.3 43.7 45.5 6.5 0.0 27.3 20.4 3192 0 2959 11000 5728
16:16:26 11004 503 250 48.7 90.4 41.8 47.7 8.9 0.0 26.9 17.1 3115 0 2926 11000 2742
16:17:25 11004 0 92 24.1 52.9 17.9 23.5 8.8 0.0 12.2 10.9 1866 0 1622 11000 1182
16:18:26 11004 0 180 24.0 52.5 21.3 23.2 9.1 0.0 14.8 11.0 1401 0 1170 10771 0
16:19:25 11004 649 250 35.1 69.0 30.0 30.0 9.2 0.0 19.9 23.8 176 0 0 8841 0
