# partial outage series 2026-09-07: 16 GiB Core, 10 GiB heap, 250 threads, 11,000 devices, netem 75/25 ms. Levels 25/50/75/100% of the fleet dropped silently by /24 blocks on netsim (bin/level.sh); each level 3 cycles, judged over cycles 2-3, then 2 cycles recovery.
time services pending active done_s core% minion% db% heap_gib oldgc_min snmp_mbit core_load events_1m dcfailed_1m dcsucceeded_1m alarms alarms_open_major
13:50:16 11004 0 201 39.0 74.1 31.6 30.0 8.3 0.0 21.7 15.7 0 0 0 0 0
# LEVEL 25 ON drop rules now: 4 2026-09-07T13:50:47Z  (octets 0-10, 2,750 devices)
13:51:15 11004 0 172 40.1 62.0 28.1 26.8 7.8 0.0 19.0 11.1 321 321 0 321 321
13:52:16 11004 0 196 38.5 53.3 24.0 22.1 7.4 0.0 16.6 10.0 589 589 0 915 915
13:53:15 11004 0 153 24.1 32.5 14.7 14.6 8.5 0.0 10.6 4.5 419 419 0 1321 1321
13:54:16 11004 0 179 38.8 52.3 23.5 23.7 8.2 0.0 16.9 9.5 551 551 0 1876 1876
13:55:15 11004 0 185 38.9 57.5 23.2 23.4 8.4 0.0 16.7 11.2 590 590 0 2452 2452
13:56:16 11004 0 148 39.3 51.7 23.4 23.2 7.0 0.0 16.6 5.6 382 282 0 2750 2750
13:57:15 11004 0 192 38.2 53.6 23.9 23.4 7.9 0.0 17.0 6.6 230 0 0 2750 2750
13:58:16 11004 0 148 23.9 37.1 15.3 16.3 9.0 0.0 11.1 8.3 209 0 0 2750 2750
13:59:15 11004 0 143 39.1 54.4 24.9 23.9 9.1 0.0 17.3 14.8 236 0 0 2750 2750
14:00:16 11004 0 163 39.2 59.1 24.9 24.6 7.3 0.0 17.1 12.4 187 0 0 2750 2750
14:01:15 11004 0 173 39.6 54.0 24.8 23.6 7.1 0.0 16.9 10.3 255 0 0 2750 2750
14:02:16 11004 0 203 38.8 55.6 24.8 25.3 9.5 0.0 17.2 9.7 266 0 0 2750 2750
14:03:15 11004 0 146 23.9 36.8 15.4 16.4 6.9 0.0 11.1 5.6 204 0 0 2750 2750
14:04:16 11004 0 157 38.9 58.2 25.6 24.9 6.5 0.0 17.3 11.9 242 0 0 2750 2750
14:05:15 11004 0 186 38.8 61.2 25.1 24.3 7.3 0.0 17.2 9.1 252 0 0 2750 2750
# LEVEL 25 OFF drop rules now: 1 2026-09-07T14:06:10Z 
14:06:15 11004 21 165 39.5 53.7 23.7 23.7 6.4 0.0 16.8 9.8 222 0 19 2750 2731
14:07:17 11004 13 250 38.1 65.8 32.0 32.1 8.6 0.0 22.0 7.7 811 0 583 2750 2124
